"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US12","Florida","21634529","*****","15896246","*****","11242515","6924","3232871","9562","26405","1270","596828","3662","10933","802","117096","5413","669598","10605","169086","6652","500512","10138","5738283","*****","2564895","20823","122837","5015","32792","3120","13162","1274","2267","750","928461","15303","2073869","21588","1920606","21672","153263","6388",
"1400000US12086000131","Census Tract 1.31; Miami-Dade County; Florida","4637","720","3008","520","2611","473","57","61","0","15","31","39","0","15","142","104","167","172","146","169","21","32","1629","476","1110","390","0","15","27","39","0","15","0","15","104","172","388","204","363","199","25","38",
"1400000US12086000132","Census Tract 1.32; Miami-Dade County; Florida","5441","710","2817","510","2257","461","201","164","0","21","153","181","0","21","37","74","169","152","82","128","87","86","2624","569","1617","485","0","21","0","21","0","21","0","21","130","119","877","341","877","341","0","21",
"1400000US12086000134","Census Tract 1.34; Miami-Dade County; Florida","3208","647","1699","600","1279","502","234","291","0","15","82","98","0","15","31","39","73","87","18","20","55","85","1509","358","589","221","0","15","0","15","0","15","0","15","162","130","758","280","758","280","0","15",
"1400000US12086000140","Census Tract 1.40; Miami-Dade County; Florida","3652","938","1256","492","854","316","79","62","0","15","304","387","0","15","4","8","15","25","0","15","15","25","2396","1042","846","288","0","15","0","15","0","15","0","15","152","117","1398","1070","1384","1069","14","22",
"1400000US12086000141","Census Tract 1.41; Miami-Dade County; Florida","1730","533","689","275","621","265","0","15","0","15","13","27","0","15","0","15","55","69","10","28","45","62","1041","398","553","289","23","36","0","15","0","15","0","15","85","142","380","256","380","256","0","15",
"1400000US12086000142","Census Tract 1.42; Miami-Dade County; Florida","4666","701","2364","471","1836","412","0","15","0","15","183","138","0","15","22","36","323","371","323","371","0","15","2302","644","1132","600","65","81","0","15","0","15","0","15","120","117","985","430","985","430","0","15",
"1400000US12086000143","Census Tract 1.43; Miami-Dade County; Florida","3155","568","1180","277","1168","279","12","20","0","15","0","15","0","15","0","15","0","15","0","15","0","15","1975","498","901","420","0","15","0","15","0","15","0","15","38","51","1036","370","1011","368","25","50",
"1400000US12086000144","Census Tract 1.44; Miami-Dade County; Florida","1221","293","528","192","419","150","25","34","0","15","24","25","0","15","0","15","60","74","20","31","40","66","693","287","541","288","0","15","0","15","0","15","0","15","97","182","55","60","55","60","0","15",
"1400000US12086000145","Census Tract 1.45; Miami-Dade County; Florida","3173","1057","1579","423","1462","421","0","15","0","15","0","15","0","15","15","31","102","48","49","60","53","69","1594","1014","600","269","0","15","0","15","0","15","0","15","0","15","994","975","886","981","108","138",
"1400000US12086000146","Census Tract 1.46; Miami-Dade County; Florida","4530","1015","3434","1049","2869","737","0","15","0","15","55","62","0","15","0","15","510","699","32","40","478","700","1096","469","379","177","0","15","0","15","0","15","0","15","27","43","690","437","690","437","0","15",
"1400000US12086000204","Census Tract 2.04; Miami-Dade County; Florida","4211","634","3061","622","398","307","2388","739","0","15","26","43","0","15","25","46","224","151","0","15","224","151","1150","297","634","248","0","15","0","15","12","19","0","15","156","168","348","213","348","213","0","15",
"1400000US12086000206","Census Tract 2.06; Miami-Dade County; Florida","6552","1657","4935","1742","231","139","4445","1718","0","21","209","286","0","21","0","21","50","59","21","32","29","46","1617","529","452","274","98","144","0","21","0","21","0","21","306","457","761","392","761","392","0","21",
"1400000US12086000211","Census Tract 2.11; Miami-Dade County; Florida","2719","286","977","218","560","164","369","144","0","15","16","16","0","15","18","26","14","15","8","12","6","9","1742","267","860","236","0","15","0","15","0","15","0","15","81","40","801","303","801","303","0","15",
"1400000US12086000212","Census Tract 2.12; Miami-Dade County; Florida","4582","624","2483","550","515","203","1883","493","0","15","33","41","0","15","0","15","52","59","30","50","22","33","2099","436","1372","354","24","41","0","15","0","15","0","15","71","102","632","280","632","280","0","15",
"1400000US12086000213","Census Tract 2.13; Miami-Dade County; Florida","5618","640","4711","747","1226","427","2833","718","83","103","230","198","28","42","0","21","311","288","0","21","311","288","907","356","227","130","94","137","0","21","18","28","0","21","23","27","545","293","504","295","41","47",
"1400000US12086000215","Census Tract 2.15; Miami-Dade County; Florida","5604","1087","5099","1052","133","133","4660","1126","0","21","108","109","0","21","61","93","137","134","0","21","137","134","505","263","255","218","188","169","0","21","0","21","0","21","49","78","13","21","13","21","0","21",
